Designator,Layer,Mid X,Mid Y,Rotation,Description
R11,T,"59,690","228,854",270,RES SMD 1K OHM 0.1% 1/16W 0603
R10,T,"-159,540","117,965",180,RES SMD 1K OHM 0.1% 1/16W 0603
D5,T,"42,672","228,854",90,LED BLUE CLEAR CHIP SMD
D4,T,"-127,790","117,965",180,LED GREEN CLEAR SMD
C5,T,"104,775","198,120",90,CAP CER 1UF 16V X7R 0603
J4,T,"121,412","80,010",180,CONN HDR 5POS 0.079 GOLD PCB
C4,T,"10,668","213,106",180,CAP CER 0.1UF 50V X7R 0603
C3,T,"0,3556","106,172",180,CAP CER 0.1UF 50V X7R 0603
U3,T,"-24,130","271,018",90,"Serial Switch/Digital Sensor, 16 Bit(s), 1Cel, Square, Surface Mount"
R7,T,"86,106","198,120",270,RES 10K OHM 0.1% 1/16W 0603
R6,T,"-21,844","213,360",180,RES 10K OHM 0.1% 1/16W 0603
C7,T,"-103,886","177,800",270,CAP CER 1UF 16V X7R 0603
U1,T,"-135,890","72,898",180,IC REG LDO 3.3V 1A SOT223
C2,T,"-76,454","103,632",270,CAP TANT 33UF 20% 16V 1411
U2,T,"0,0000","159,352",90,"RISC Microcontroller, 32-Bit, FLASH, CORTEX-M0 CPU, 48MHz, CMOS, PDSO20"
R9,T,"-86,360","177,800",90,RES 10K OHM 0.1% 1/16W 0603
R3,T,"46,990","144,018",270,RES 10K OHM 0.1% 1/16W 0603
R5,T,"-46,990","155,702",270,RES 10K OHM 0.1% 1/16W 0603
R4,T,"68,580","198,120",270,RES SMD 220 OHM 0.5% 1/10W 0603
R8,T,"-68,580","177,800",90,RES SMD 220 OHM 0.5% 1/10W 0603
J3,T,"-188,434","186,436",90,CONN HEADER SMD R/A 2POS 2MM
J2,T,"188,434","186,690",270,CONN HEADER SMD R/A 2POS 2MM
IC1,T,"93,980","165,100",0,MOSFET N-CH 60V 380MA SOT23
IC2,T,"-93,980","210,820",180,MOSFET N-CH 60V 380MA SOT23
D2,T,"124,460","187,960",90,DIODE GEN PURP 200V 1A SOD123F
D3,T,"-124,460","187,960",270,DIODE GEN PURP 200V 1A SOD123F
C6,T,"-52,578","270,002",90,CAP CER 0.1UF 50V X7R 0603
R2,T,"-16,510","83,312",0,RES 5.1K OHM 5% 1/10W 0603
R1,T,"16,510","83,312",180,RES 5.1K OHM 5% 1/10W 0603
J1,T,"0,0000","36,400",0,"USB-C (USB TYPE-C) Receptacle Connector 24 (6+18 Dummy) Position Surface Mount, Right Angle; Through Hole"
D1,T,"-77,978","47,244",270,TVS DIODE 5V 8.9V DO219AB
C1,T,"-109,474","28,194",0,CAP CER 1UF 16V X7R 0603
